home_goals,away_goals
0.001,1.0
0.001,1.0
0.002,1.0
0.002,1.0
0.003,0.0
0.003,2.0
0.003,1.0
0.002,0.0
0.005,1.0
0.003,0.0
0.001,1.0
0.002,0.0
0.002,1.0
0.0,0.0
0.001,1.0
0.0,3.0
0.001,1.0
0.002,1.0
0.002,1.0
0.002,0.0
0.001,0.0
0.0,2.0
0.001,2.0
0.001,0.0
0.001,0.0
0.002,0.0
0.0,2.0
0.0,4.0
0.003,0.0
0.001,1.0
0.001,0.0
0.002,1.0
0.001,2.0
0.001,0.0
0.0,0.0
0.001,0.0
0.001,1.0
0.001,0.0
0.0,1.0
0.0,0.0
0.002,2.0
0.001,2.0
0.0,0.0
0.001,0.0
0.004,2.0
0.0,0.0
0.0,2.0
0.0,1.0
0.002,0.0
0.003,0.0
0.003,0.0
0.002,0.0
0.0,2.0
0.002,0.0
0.0,1.0
0.001,1.0
0.001,1.0
0.001,1.0
0.0,1.0
0.002,0.0
0.001,2.0
0.001,1.0
0.001,1.0
0.002,1.0
0.0,1.0
0.002,1.0
0.002,0.0
0.002,1.0
0.003,3.0
0.001,3.0
0.003,0.0
0.001,1.0
0.001,1.0
0.0,0.0
0.002,1.0
0.002,0.0
0.0,1.0
0.001,2.0
0.002,1.0
0.004,0.0
0.0,0.0
0.002,1.0
0.002,0.0
0.001,1.0
0.002,0.0
0.0,1.0
0.001,0.0
0.001,0.0
0.0,4.0
0.0,2.0
0.001,1.0
0.0,4.0
0.0,1.0
0.003,1.0
0.003,1.0
0.0,0.0
0.0,0.0
0.002,1.0
0.001,0.0
0.001,0.0
0.0,1.0
0.001,0.0
0.002,0.0
0.003,0.0
0.002,0.0
0.0,1.0
0.001,0.0
0.002,0.0
0.002,1.0
0.0,0.0
0.004,0.0
0.0,1.0
0.001,0.0
0.001,1.0
0.002,2.0
0.003,2.0
0.0,1.0
0.003,1.0
0.003,0.0
0.003,1.0
0.001,1.0
0.001,0.0
0.001,0.0
0.002,1.0
0.002,0.0
0.001,2.0
0.0,0.0
0.0,0.0
0.001,1.0
0.001,1.0
0.001,1.0
0.0,1.0
0.001,0.0
0.001,0.0
0.003,1.0
0.001,0.0
0.003,1.0
0.001,1.0
0.0,1.0
0.001,3.0
0.002,1.0
0.0,1.0
0.0,0.0
0.003,0.0
0.003,0.0
0.002,0.0
0.002,2.0
0.001,0.0
0.002,1.0
0.0,4.0
0.001,2.0
0.002,0.0
0.0,0.0
0.001,0.0
0.002,1.0
0.003,2.0
0.0,2.0
0.003,1.0
0.001,3.0
0.004,0.0
0.001,1.0
0.002,0.0
0.005,1.0
0.0,0.0
0.004,0.0
0.001,1.0
0.002,2.0
0.001,0.0
0.0,1.0
0.0,3.0
0.002,2.0
0.002,1.0
0.001,2.0
0.0,1.0
0.0,1.0
0.002,3.0
0.001,2.0
0.001,0.0
0.002,1.0
0.0,0.0
0.006,2.0
0.0,3.0
0.002,0.0
0.0,2.0
0.002,0.0
0.003,1.0
0.003,1.0
0.0,2.0
0.002,3.0
0.002,2.0
0.002,1.0
0.001,2.0
0.001,0.0
0.002,1.0
0.0,0.0
0.003,1.0
0.0,1.0
0.001,2.0
0.002,2.0
0.002,1.0
0.002,1.0
0.003,2.0
0.002,2.0
0.003,0.0
0.003,2.0
0.0,1.0
0.0,1.0
0.001,0.0
0.003,0.0
0.0,0.0
0.002,1.0
0.003,1.0
0.001,1.0
0.006,0.0
0.0,3.0
0.002,2.0
0.004,0.0
0.0,0.0
0.0,3.0
0.0,0.0
0.001,3.0
0.004,0.0
0.003,1.0
0.001,1.0
0.003,3.0
0.0,2.0
0.001,1.0
0.002,3.0
0.002,0.0
0.002,0.0
0.001,1.0
0.005,1.0
0.002,2.0
0.0,1.0
0.003,1.0
0.0,3.0
0.0,2.0
0.002,1.0
0.002,1.0
0.0,0.0
0.002,0.0
0.001,2.0
0.003,2.0
0.003,0.0
0.001,1.0
0.004,0.0
0.003,1.0
0.0,0.0
0.001,0.0
0.002,1.0
0.0,1.0
0.002,1.0
0.0,2.0
0.0,1.0
0.001,0.0
0.001,1.0
0.0,4.0
0.002,0.0
0.003,0.0
0.001,0.0
0.002,0.0
0.002,1.0
0.002,1.0
0.0,1.0
0.002,1.0
0.002,1.0
0.002,1.0
0.001,1.0
0.001,2.0
0.001,2.0
0.004,0.0
0.004,0.0
0.002,1.0
0.0,3.0
0.001,0.0
0.003,0.0
0.004,1.0
0.0,1.0
0.002,1.0
0.001,1.0
0.0,1.0
0.0,0.0
0.001,1.0
0.002,2.0
0.0,2.0
0.001,2.0
0.003,4.0
0.0,1.0
0.0,1.0
0.004,1.0
0.003,0.0
0.0,2.0
0.0,0.0
0.003,1.0
0.0,0.0
0.001,2.0
0.002,0.0
0.0,0.0
0.001,0.0
0.004,1.0
0.001,0.0
0.001,0.0
0.001,1.0
0.004,1.0
0.0,1.0
0.002,0.0
0.0,1.0
0.001,0.0
0.001,1.0
0.0,0.0
0.004,1.0
0.001,0.0
0.0,1.0
0.001,2.0
0.004,1.0
0.001,2.0
0.001,2.0
0.001,3.0
0.002,1.0
0.004,2.0
0.001,1.0
0.001,1.0
0.001,3.0
0.0,0.0
0.0,0.0
0.002,1.0
0.0,0.0
0.001,3.0
0.002,1.0
0.001,0.0
0.003,0.0
0.003,3.0
0.002,1.0
0.003,1.0
0.002,0.0
0.003,1.0
0.002,0.0
0.001,4.0
0.002,2.0
0.001,3.0
0.001,1.0
0.001,1.0
0.002,0.0
0.001,1.0
0.001,0.0
0.001,1.0
0.0,0.0
0.0,0.0
0.002,2.0
0.002,4.0
0.004,1.0
0.0,2.0
0.002,3.0
0.002,1.0
0.001,0.0
0.0,3.0
0.003,1.0
0.001,0.0
0.0,1.0
0.003,0.0
0.001,0.0
0.0,2.0
0.0,2.0
0.003,1.0
0.0,1.0
0.003,0.0
0.001,1.0
0.0,2.0
0.0,0.0
0.001,1.0
